,prof,url
0,"CC'ing olio-user as that is the right forum for these questions.<EOL>
",http://mail-archives.apache.org/mod_mbox/incubator-olio-user/201006.mbox/%3cAANLkTinbezcfVAxmmg4ilXjcJJ7Z0YWry2jImXuv7-xY@mail.gmail.com%3e
1,there is some *temporary* documentation available<EOL>,http://mail-archives.apache.org/mod_mbox/incubator-adffaces-user/200606.mbox/%3c467251f60606130330u6b226dc2k80945ceaf647f75@mail.gmail.com%3e
2,There is also a compiled api-jar and a compiled impl-jar online ([4])<EOL>,http://mail-archives.apache.org/mod_mbox/incubator-adffaces-user/200606.mbox/%3c467251f60606130330u6b226dc2k80945ceaf647f75@mail.gmail.com%3e
3,"Please note; that the name ""ADF Faces"" will be removed asap<EOL>",http://mail-archives.apache.org/mod_mbox/incubator-adffaces-user/200606.mbox/%3c467251f60606130330u6b226dc2k80945ceaf647f75@mail.gmail.com%3e
4,"This includes JavaDoc ([2])
> and describtion of taglib ([3]).<EOL>",http://mail-archives.apache.org/mod_mbox/incubator-adffaces-user/200606.mbox/%3c467251f60606130330u6b226dc2k80945ceaf647f75@mail.gmail.com%3e
5,My DFDL tutorial shows how to use DFDL to process text files and binary files<EOL>,http://mail-archives.apache.org/mod_mbox/incubator-daffodil-users/202006.mbox/%3cDM6PR09MB3337D8EE12EB72F5CAB14932C8920@DM6PR09MB3337.namprd09.prod.outlook.com%3e
6,"My tutorial
on processing binary files shows how to use DFDL schema to process Windows EXE files, byte
by byte, bit by bit.<EOL>",http://mail-archives.apache.org/mod_mbox/incubator-daffodil-users/202006.mbox/%3cDM6PR09MB3337D8EE12EB72F5CAB14932C8920@DM6PR09MB3337.namprd09.prod.outlook.com%3e
7,"After two RC version, a new candidate for the ODF Toolkit 0.5-incubating
release is available  at:
http://people.apache.org/~devinhan/odftoolkit-release/odftoolkit-0.5-incubating-rc3/<EOL>",http://mail-archives.apache.org/mod_mbox/incubator-odf-users/201112.mbox/%3cCAFJd6yRXT-Ty=MX1MjA2B0d=ZRUwOg1xtoY-7k1=Ep2LUhexOw@mail.gmail.com%3e
8,"The vote is open for the next 72 hours and passes if a majority of at least
three +1 ODF Toolkit PMC votes are cast.<EOL>",http://mail-archives.apache.org/mod_mbox/incubator-odf-users/201112.mbox/%3cCAFJd6yRXT-Ty=MX1MjA2B0d=ZRUwOg1xtoY-7k1=Ep2LUhexOw@mail.gmail.com%3e
9,"The release candidate is a zip archive of the sources in:
https://svn.apache.org/repos/asf/incubator/odf/tags/0.5-incubating-rc3/<EOL>",http://mail-archives.apache.org/mod_mbox/incubator-odf-users/201112.mbox/%3cCAFJd6yRXT-Ty=MX1MjA2B0d=ZRUwOg1xtoY-7k1=Ep2LUhexOw@mail.gmail.com%3e
10,"Please vote on releasing this package as Apache ODF Toolkit
0.5-incubating-rc3.<EOL>",http://mail-archives.apache.org/mod_mbox/incubator-odf-users/201112.mbox/%3cCAFJd6yRXT-Ty=MX1MjA2B0d=ZRUwOg1xtoY-7k1=Ep2LUhexOw@mail.gmail.com%3e
11,"Aaron or
> > > > someone
> > > > > > > else can correct me if I am wrong<EOL>",http://mail-archives.apache.org/mod_mbox/incubator-blur-user/201309.mbox/%3cCAGW2whT2c_kyU=FAtLZ-yEO7i6vRR9xWmcSvcf6iJZBqPKDVEw@mail.gmail.com%3e
12,"Of the two Consistency is favored over
Availability,
> > > however
> > > > we
> > > > > > are
> > > > > > > > > > > starting development (in 0.3.0) to
increase
> availability
> > > > during
> > > > > > > > > failures.<EOL>",http://mail-archives.apache.org/mod_mbox/incubator-blur-user/201309.mbox/%3cCAGW2whT2c_kyU=FAtLZ-yEO7i6vRR9xWmcSvcf6iJZBqPKDVEw@mail.gmail.com%3e
13,"SVN is retired (rw to the incubator pmc, should still be anonymous r)<EOL>",http://mail-archives.apache.org/mod_mbox/incubator-agila-user/200701.mbox/%3c459FCBDF.9070607@mvdb.net%3e
14,"The rest of the RetiringPodlings page has been done, so now I've
> requested that these mailing lists be shutdown:
> 
> https://issues.apache.org/jira/browse/INFRA-1056<EOL>",http://mail-archives.apache.org/mod_mbox/incubator-agila-user/200701.mbox/%3c459FCBDF.9070607@mvdb.net%3e
15,"As far as I can tell everyone is
>> agreed on doing it, so I'm planning to do the items listed on
>> http://wiki.apache.org/incubator/RetiringPodlings next weekend<EOL>",http://mail-archives.apache.org/mod_mbox/incubator-agila-user/200701.mbox/%3c459FCBDF.9070607@mvdb.net%3e
16,"Retiring podlings is pretty novel, so please point out if anything is
>> missing or if anything there is a bad idea<EOL>",http://mail-archives.apache.org/mod_mbox/incubator-agila-user/200701.mbox/%3c459FCBDF.9070607@mvdb.net%3e
17,Wiki is read-only.<EOL>,http://mail-archives.apache.org/mod_mbox/incubator-agila-user/200701.mbox/%3c459FCBDF.9070607@mvdb.net%3e
18,"This is to let people know that the mailing lists will be shut down
>> (archives don't go away) as a part of that and the various resources
>> (jira/code etc) will be read-only.<EOL>",http://mail-archives.apache.org/mod_mbox/incubator-agila-user/200701.mbox/%3c459FCBDF.9070607@mvdb.net%3e
19," Friendly reminder: Our fifth edition of monthly Apache Gobblin video
> conference is tomorrow - 8/16 Wednesday (9:00 - 10:00am PT)<EOL>",http://mail-archives.apache.org/mod_mbox/incubator-gobblin-user/201708.mbox/%3cCAFjTMnwU73g-biVEfanLwgXSbSE8TX+K1g9jTZ5WTyFidfihiQ@mail.gmail.com%3e
20,Please join us at: https://bluejeans.com/741314307/<EOL>,http://mail-archives.apache.org/mod_mbox/incubator-gobblin-user/201708.mbox/%3cCAFjTMnwU73g-biVEfanLwgXSbSE8TX+K1g9jTZ5WTyFidfihiQ@mail.gmail.com%3e
21,"Meeting minutes:
https://cwiki.apache.org/confluence/display/GOBBLIN/5th+Apache+Gobblin+Community+Monthly+Meetup<EOL>
",http://mail-archives.apache.org/mod_mbox/incubator-gobblin-user/201708.mbox/%3cCAFjTMnwU73g-biVEfanLwgXSbSE8TX+K1g9jTZ5WTyFidfihiQ@mail.gmail.com%3e
22,"You could also grab the latest build binaries from Jenkins Apache CI server:
https://builds.apache.org/job/Blur-master-jdk6/<EOL>
Download links:
https://builds.apache.org/job/Blur-master-jdk6/212/org.apache.blur$apache-blur/<EOL>",http://mail-archives.apache.org/mod_mbox/incubator-blur-user/201404.mbox/%3cCAB6tTr3MaMKgYfn792bqAYk7MOwES08HKBpWSwTqFu0sVBAYzw@mail.gmail.com%3e
23,This email was sent by an automated system on behalf of the Apache<EOL>,http://mail-archives.apache.org/mod_mbox/airflow-dev/201701.mbox/<20170101160835.73540.79148@johns-mbp-2.home>
24,"The report for your podling will form a part of the Incubator PMC
report.<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201701.mbox/<20170101160835.73540.79148@johns-mbp-2.home>
25,"Please submit your report with sufficient time to allow the Incubator
PMC, and subsequently board members to review and digest.<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201701.mbox/<20170101160835.73540.79148@johns-mbp-2.home>
26,"Your report should contain the following:
*   Your project name
*   A brief description of your project, which assumes no knowledge of
    the project or necessarily of its field
*   A list of the three most important issues to address in the move
    towards graduation.<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201701.mbox/<20170101160835.73540.79148@johns-mbp-2.home>
27,"This should be appended to the Incubator Wiki page at:
https://wiki.apache.org/incubator/January2017<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201701.mbox/<20170101160835.73540.79148@johns-mbp-2.home>
28,"You may need to wait a little before
this page is created from a template.<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201701.mbox/<20170101160835.73540.79148@johns-mbp-2.home>
29,"Signing off reports shows that you are
following the project - projects that are not signed may raise alarms
for the Incubator PMC.<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201701.mbox/<20170101160835.73540.79148@johns-mbp-2.home>
30," I have made the THIRD beta of Airflow 1.8.0 available at:
> >>>> https://dist.apache.org/repos/dist/dev/incubator/airflow/ <
> >>>> https://dist.apache.org/repos/dist/dev/incubator/airflow/> , public
> >> keys
> >>>> are available at
> >>>> https://dist.apache.org/repos/dist/release/incubator/airflow/ <
> >>>> https://dist.apache.org/repos/dist/release/incubator/airflow/><EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201701.mbox/<CALCMntvu56Ly+yVxkE27EjLJ1bT=_wHUq0Hx_34XK_CAd8YG_w@mail.gmail.com>
31,"When reporting
> >> issues a
> >>>> test case or even a fix is highly appreciated<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201701.mbox/<CALCMntvu56Ly+yVxkE27EjLJ1bT=_wHUq0Hx_34XK_CAd8YG_w@mail.gmail.com>
32,> >>>> the procedure becomes even more strict<EOL>,http://mail-archives.apache.org/mod_mbox/airflow-dev/201701.mbox/<CALCMntvu56Ly+yVxkE27EjLJ1bT=_wHUq0Hx_34XK_CAd8YG_w@mail.gmail.com>
33,"I have made the THIRD beta of Airflow 1.8.0 available at:
> >>>> https://dist.apache.org/repos/dist/dev/incubator/airflow/ <
> >>>> https://dist.apache.org/repos/dist/dev/incubator/airflow/> , public
> >> keys
> >>>> are available at
> >>>> https://dist.apache.org/repos/dist/release/incubator/airflow/ <
> >>>> https://dist.apache.org/repos/dist/release/incubator/airflow/> .<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201701.mbox/<CALCMntvu56Ly+yVxkE27EjLJ1bT=_wHUq0Hx_34XK_CAd8YG_w@mail.gmail.com>
34,"Moving towards RC I
> >> tend to
> >>>> like small bug fixes only.<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201701.mbox/<CALCMntvu56Ly+yVxkE27EjLJ1bT=_wHUq0Hx_34XK_CAd8YG_w@mail.gmail.com>
35,"Please remember that the FINAL
> >>>> release is dependent on a vote on the IPMC mailinglist.<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201701.mbox/<CALCMntvu56Ly+yVxkE27EjLJ1bT=_wHUq0Hx_34XK_CAd8YG_w@mail.gmail.com>
36,Please subscribe to the dev@ mailing list<EOL>,http://mail-archives.apache.org/mod_mbox/airflow-dev/201604.mbox/<CADrzvViM37CPyU+nc4=UkY4hXU3MF=N-V31ZDEJrpHQcQWRREA@mail.gmail.com>
37,"Stripe is hosting the next Airflow Meetup on Wednesday, September 21st
in San Francisco<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201608.mbox/<70EBD4C69287065F.D74AEE77-2187-4E71-8B43-98A327073693@mail.outlook.com>
38,"Let
me know if you''d like to volunteer.<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201608.mbox/<70EBD4C69287065F.D74AEE77-2187-4E71-8B43-98A327073693@mail.outlook.com>
39,"I have made the THIRD beta of Airflow 1.8.0 available at:
>>> https://dist.apache.org/repos/dist/dev/incubator/airflow/ <
>>> https://dist.apache.org/repos/dist/dev/incubator/airflow/> , public keys
>>> are available at
>>> https://dist.apache.org/repos/dist/release/incubator/airflow/ <
>>> https://dist.apache.org/repos/dist/release/incubator/airflow/> <EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201701.mbox/<BA5E77FF-5232-4058-9208-4269121435B3@gmail.com>
40,"When reporting issues
 a
>>> test case or even a fix is highly appreciated<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201701.mbox/<BA5E77FF-5232-4058-9208-4269121435B3@gmail.com>
41,>>> the procedure becomes even more strict<EOL>,http://mail-archives.apache.org/mod_mbox/airflow-dev/201701.mbox/<BA5E77FF-5232-4058-9208-4269121435B3@gmail.com>
42,"This beta is available for testing in a more production
>>> like setting (acceptance environment?<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201701.mbox/<BA5E77FF-5232-4058-9208-4269121435B3@gmail.com>
43,"I would like to encourage everyone  to try it out, to report back any
>>> issues so we get to a rock solid release of 1.8.0.<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201701.mbox/<BA5E77FF-5232-4058-9208-4269121435B3@gmail.com>
44,"Moving towards RC I tend
 to
>>> like small bug fixes only.<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201701.mbox/<BA5E77FF-5232-4058-9208-4269121435B3@gmail.com>
45,"Please remember that the FINAL
>>> release is dependent on a vote on the IPMC mailinglist.<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201701.mbox/<BA5E77FF-5232-4058-9208-4269121435B3@gmail.com>
46,Here''s the quarterly Podling Report for Apache Airflow<EOL>,http://mail-archives.apache.org/mod_mbox/airflow-dev/201612.mbox/<CANLtMifAUohgQKrRqbb4gckOi3y-WedMnWt2wiC9Zc0dDUA7vQ@mail.gmail.com>
47,"If you are a committer/maintainer, you can directly edit it.<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201612.mbox/<CANLtMifAUohgQKrRqbb4gckOi3y-WedMnWt2wiC9Zc0dDUA7vQ@mail.gmail.com>
48,"Feel free to
suggest edits<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201612.mbox/<CANLtMifAUohgQKrRqbb4gckOi3y-WedMnWt2wiC9Zc0dDUA7vQ@mail.gmail.com>
49," If you want to contribute it back to the project, send a PR that add it to
> the `contrib/hooks` folder<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201609.mbox/<CABNWVv-YdgJ_ygTDKL8X86Gdv=A-fTLdpfYYc44Ve4iBFpHEHA@mail.gmail.com>
50,Just a reminder that the second Podling report is imminent<EOL>,http://mail-archives.apache.org/mod_mbox/airflow-dev/201605.mbox/<CADiKvVvXTdgzwKaCE_oijH7cE-pUNBFFdriCC58_5PBYnduS-g@mail.gmail.com>
51,"After
three monthly reports (this is our second), we move to quarterly
reporting.<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201605.mbox/<CADiKvVvXTdgzwKaCE_oijH7cE-pUNBFFdriCC58_5PBYnduS-g@mail.gmail.com>
52,"I''ve created a first version of the iota Contributor Guide:
> https://cwiki.apache.org/confluence/display/IOTA/iota+Contributor+Guide
>
> For release 0.1, I suggest that we focus on the build chapters since being
> able to build the source is typically a requirement to make a release
> public<EOL>",http://mail-archives.apache.org/mod_mbox/iota-dev/201702.mbox/<CANMFQO5ypPc0Dt9a58XGXsAQZtYUb1_hHQd7d+fYu=covp+D3A@mail.gmail.com>
53,"I
>> > think
>> > >>> now 1.7.1.3 is out we should be focused on getting one out as we are
>> > kind
>> > >>> of half way the incubation process<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201606.mbox/<CADiKvVv0OS8fVEoKTdD2k60s-7=UKUnnhDVbHE9g8GF6P2ZeyA@mail.gmail.com>
54,"Replace highcharts by D3 (WIP:
>> > >>> https://github.com/apache/incubator-airflow/pull/1469)
>> > >>> 2.<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201606.mbox/<CADiKvVv0OS8fVEoKTdD2k60s-7=UKUnnhDVbHE9g8GF6P2ZeyA@mail.gmail.com>
55,Have a review by Apache<EOL>,http://mail-archives.apache.org/mod_mbox/airflow-dev/201606.mbox/<CADiKvVv0OS8fVEoKTdD2k60s-7=UKUnnhDVbHE9g8GF6P2ZeyA@mail.gmail.com>
56,"Technically headers have to be added to anything where
human creativity was involved (ie, not in generated source code), so
one could argue they''re not necessary in __init__.pys.<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201606.mbox/<CADiKvVv0OS8fVEoKTdD2k60s-7=UKUnnhDVbHE9g8GF6P2ZeyA@mail.gmail.com>
57,We''ve deployed the RC and will report if there are any issues<EOL>,http://mail-archives.apache.org/mod_mbox/airflow-dev/201702.mbox/<CABYbY7fMpHZqoesPR7wAH0w9viU9jbfkt1BrMWeeE07yZe7kuQ@mail.gmail.com>
58," This should be
> considered
> > of
> > > > >>>> release quality, but not yet officially vetted as a release yet<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201702.mbox/<CABYbY7fMpHZqoesPR7wAH0w9viU9jbfkt1BrMWeeE07yZe7kuQ@mail.gmail.com>
59,"Furthermore, we now have a “v1-8-stable” branch<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201702.mbox/<CABYbY7fMpHZqoesPR7wAH0w9viU9jbfkt1BrMWeeE07yZe7kuQ@mail.gmail.com>
60,"The
> > > > >> test
> > > > >>>> branch now has version 1.8.1alpha as version and master has
> > > > >> version
> > > > >>>> 1.9.0dev<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201702.mbox/<CABYbY7fMpHZqoesPR7wAH0w9viU9jbfkt1BrMWeeE07yZe7kuQ@mail.gmail.com>
61,"This means
> > that,
> > > > >> per
> > > > >>>> release guidelines, patches accompanied with an ASSIGNED Jira
> and
> > a
> > > > >>>> sign-off from a committer<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201702.mbox/<CABYbY7fMpHZqoesPR7wAH0w9viU9jbfkt1BrMWeeE07yZe7kuQ@mail.gmail.com>
62," For
> > > > >>> more
> > > > >>>> information please see: https://cwiki.apache.org/
> > > > >>>> confluence/display/AIRFLOW/Airflow+Release+Planning+and+
> > > > >>>> Supported+Release+Lifetime <https://cwiki.apache.org/
> > > > >>>> confluence/display/AIRFLOW/Airflow+Release+Planning+and+
> > > > >>>> Supported+Release+Lifetime><EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201702.mbox/<CABYbY7fMpHZqoesPR7wAH0w9viU9jbfkt1BrMWeeE07yZe7kuQ@mail.gmail.com>
63,"I have made the (first) RELEASE CANDIDATE of Airflow 1.8.0
> > available
> > > > >> at:
> > > > >>>> https://dist.apache.org/repos/dist/dev/incubator/airflow/ ,
> > public
> > > > >> keys
> > > > >>>> are available at
> > > > https://dist.apache.org/repos/dist/release/incubator/
> > > > >>>> airflow/ .<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201702.mbox/<CABYbY7fMpHZqoesPR7wAH0w9viU9jbfkt1BrMWeeE07yZe7kuQ@mail.gmail.com>
64,"As the difference between beta 5 and the release candidate is
> > > > >> relatively
> > > > >>>> small I hope to start the VOTE for releasing 1.8.0 quite soon
(2
> > > > >> days?<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201702.mbox/<CABYbY7fMpHZqoesPR7wAH0w9viU9jbfkt1BrMWeeE07yZe7kuQ@mail.gmail.com>
65," Only then the release manager applies
> > the
> > > > >>> patch
> > > > >>>> to stable (In this case that would be me).<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201702.mbox/<CABYbY7fMpHZqoesPR7wAH0w9viU9jbfkt1BrMWeeE07yZe7kuQ@mail.gmail.com>
66,Any questions or suggestions dont hesitate to ask!<EOL>,http://mail-archives.apache.org/mod_mbox/airflow-dev/201702.mbox/<CABYbY7fMpHZqoesPR7wAH0w9viU9jbfkt1BrMWeeE07yZe7kuQ@mail.gmail.com>
67,"The whole 1.8.X release will be bug fix focused (per release management)
>>> and minor feature updates<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201705.mbox/<CABekQG7LYELk3UwweCqrdO=x49k_DvY444v5socDH6x+4dfnqw@mail.gmail.com>
68,"Chris has been preparing the 1.8.1 release and the vote is running
>>>>>> for it<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201705.mbox/<CABekQG7LYELk3UwweCqrdO=x49k_DvY444v5socDH6x+4dfnqw@mail.gmail.com>
69,"I would like to raise a VOTE for releasing 1.8.1 based on release
>>>>>> candidate
>>>>>> 2<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201705.mbox/<CABekQG7LYELk3UwweCqrdO=x49k_DvY444v5socDH6x+4dfnqw@mail.gmail.com>
70,"Writing regression tests is good but we
>>> shouldn''t have so many new blocker issues in our releases.<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201705.mbox/<CABekQG7LYELk3UwweCqrdO=x49k_DvY444v5socDH6x+4dfnqw@mail.gmail.com>
71,"It would be nice if you can share where your areas of concern are so we can
>>>> address those and a suggestion on how to proceed with integration tests is
>>>> also welcome.<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201705.mbox/<CABekQG7LYELk3UwweCqrdO=x49k_DvY444v5socDH6x+4dfnqw@mail.gmail.com>
72,"I do agree with the approach of
> trying
> >> to get funding from Apache and having shared resources (e.g.<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201612.mbox/<CAK5UC3BWHsj8m_nAC9ToB7CWxqZxRinZBZAWAH7wGNzo96EeGg@mail.gmail.com>
73,"I am willing to offer
> a
> >>> place in Lab env I am running or to fund an environment in AWS/GCloud
> if
> >>> Apache cannot make these kind of resources available<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201612.mbox/<CAK5UC3BWHsj8m_nAC9ToB7CWxqZxRinZBZAWAH7wGNzo96EeGg@mail.gmail.com>
74," I
> >>> will also hold ultimate power to remove access from anyone<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201612.mbox/<CAK5UC3BWHsj8m_nAC9ToB7CWxqZxRinZBZAWAH7wGNzo96EeGg@mail.gmail.com>
75,"Downside 1) it might not be entirely Apache
> like.<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201612.mbox/<CAK5UC3BWHsj8m_nAC9ToB7CWxqZxRinZBZAWAH7wGNzo96EeGg@mail.gmail.com>
76,"2) there is no guaranteed up time 3) I might need
> >> to
> >>> remove it in the future e.g.<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201612.mbox/<CAK5UC3BWHsj8m_nAC9ToB7CWxqZxRinZBZAWAH7wGNzo96EeGg@mail.gmail.com>
77,"4) No
> >>> public cloud integration, its a private stack after all <EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201612.mbox/<CAK5UC3BWHsj8m_nAC9ToB7CWxqZxRinZBZAWAH7wGNzo96EeGg@mail.gmail.com>
78,"Again, I probably want to have ultimate
> >>> power on access to this environment - its my companys money on the
> line
> >>> after all <EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201612.mbox/<CAK5UC3BWHsj8m_nAC9ToB7CWxqZxRinZBZAWAH7wGNzo96EeGg@mail.gmail.com>
79,"Upside is that it is not company
> >> property<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201612.mbox/<CAK5UC3BWHsj8m_nAC9ToB7CWxqZxRinZBZAWAH7wGNzo96EeGg@mail.gmail.com>
80,"To my knowledge what
> Apache offers is more suited for unit tests (ie.<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201612.mbox/<CAK5UC3BWHsj8m_nAC9ToB7CWxqZxRinZBZAWAH7wGNzo96EeGg@mail.gmail.com>
81,"The ""traditional"" Apache infra is Jenkins with a
> > pool of machines that they provide.<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201612.mbox/<CAK5UC3BWHsj8m_nAC9ToB7CWxqZxRinZBZAWAH7wGNzo96EeGg@mail.gmail.com>
82,"If we decide we don''t like
> > it, I think that''s OK, as long as we move forward knowing that any other
> > testing solution can disappear at any time.<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201612.mbox/<CAK5UC3BWHsj8m_nAC9ToB7CWxqZxRinZBZAWAH7wGNzo96EeGg@mail.gmail.com>
83,"If running in our Lab there is virtually no restriction what we could
> do,
> >>> however I will hand select people who have access to this environment.<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201612.mbox/<CAK5UC3BWHsj8m_nAC9ToB7CWxqZxRinZBZAWAH7wGNzo96EeGg@mail.gmail.com>
84," I even
> might
> >>> ask for a confirmation that you will behave when using our property
> >> (dont
> >>> worry wont cover it with legal wording).<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201612.mbox/<CAK5UC3BWHsj8m_nAC9ToB7CWxqZxRinZBZAWAH7wGNzo96EeGg@mail.gmail.com>
85,"We could setup a Gitlab instance that mirrors from Apache a kicks
> >> off
> >>> runners to do testing.<EOL>",http://mail-archives.apache.org/mod_mbox/airflow-dev/201612.mbox/<CAK5UC3BWHsj8m_nAC9ToB7CWxqZxRinZBZAWAH7wGNzo96EeGg@mail.gmail.com>
86,when I change jobs for example :).<EOL>,http://mail-archives.apache.org/mod_mbox/airflow-dev/201612.mbox/<CAK5UC3BWHsj8m_nAC9ToB7CWxqZxRinZBZAWAH7wGNzo96EeGg@mail.gmail.com>
